"Greenock","Greenock"
"Tortona","Ioannina"
"Brescia","Lapseki"
"Trieste","Bursa"
"Postojna","Adana"
"Postojna","Caen"
"Ljubljana","Nusaybin"
"Ljubljana","Drogheda"
"Slavonski","Khabur"
"Brod","River"
"Vršac","Iraq"
"Vršac","Galaţi"
"Timişoara","Appenweier"
"Drobeta-Turnu","Belfast"
"Drobeta-Turnu","Taganrog"
"Severin","Drogheda"
"Craiova","Pontevedra"
"Alexandria","Reni"
"Alexandria","Galaţi"
"Razgrad","Porto"
"Shumen","Castro"
"Shumen","Yozgat"
"Varna","Marim"
"Ordu","Huelva"
"Ordu","Cherbourg-Octeville"
"Ordu","İskenderun"
"Ordu","Antakya"
"Giresun","Cherbourg-Octeville"
"Trabzon","Rochelle"
"Batumi","Sivas"
"Lisbon","Oslo"
"Valladolid","Hamar"
"Toulouse","Lillehammer"
"Nice","Dombås"
"Sofia","Trondheim"
"Plovdiv","Steinkjer"
"Plovdiv","Halámky"
"Plovdiv","Hirschberg"
"Istanbul","Leipzig"
"İzmit","Montluçon"
"İzmit","Knin"
"İzmit","Szekszárd"
"Gerede","i"
"Amasya","Rana"
"Erzurum","Rognan"
"Gürbulak","Chaumont"
"Iran","Martigny"
"Mazara","Lakselv"
"del","Karasjok"
"Vallo","Pau,"
"Vallo","Sivrihisar"
"Palermo","Pyrénées-Atlantiques"
"Reggio","Jaca"
"Calabria","Zaragoza"
"Calabria","Afyonkarahisar"
"Calabria","Kulob"
"Metaponto","Vierzon"
"Taranto","Montpellier"
"Taranto","Aral"
"Taranto","Novokazalinsk"
"Ioannina","Doncaster"
"Ioannina","Trstená"
"Gelibolu","Northampton"
"Lapseki","Antwerp"
"Bursa","Sarreguemines"
"Ankara","La"
"Adana","Spezia"
"Adana","Vestnes"
"Adana","Syria"
"Nusaybin","Bremen"
"Khabur","Vinjeøra"
"River","Halsa"
"Iraq","Volda"
"Larne","Kristiansund"
"Belfast","Connection"
"Newry","Batnfjordsøra"
"Dundalk","Vestnes"
"Drogheda","Skodje"
"Pontevedra","Volda"
"Valença","Sandane"
"Porto","Førde"
"Albufeira","Lavik"
"Albufeira","Real"
"Castro","Knarvik"
"Marim","Bergen"
"Huelva","Os"
"Cherbourg-Octeville","Stord"
"La","Sveio"
"Rochelle","Aksdal"
"Trelleborg","Iğdir"
"Oslo","Rennesøy"
"Hamar","Randaberg"
"Hamar","Tornio"
"Hamar","Walsrode"
"Hamar","Stralsund"
"Lillehammer","Stavanger"
"Dombås","Sandnes"
"Trondheim","Helleland"
"Stjørdal","Flekkefjord"
"Steinkjer","Lyngdal"
"Mosjøen","Kristiansand"
"Mo","Hirtshals"
"i","Hjørring"
"Rana","Nørresundby"
"Rognan","Dortmund"
"Rognan","Ayvalık"
"Rognan","İzmir"
"Fauske","Stuttgart"
"Ballangen","Schaffhausen"
"Setermoen","Ulm"
"Alta","Lindau"
"Olderfjord","Buchs"
"Lakselv","Chur"
"Karasjok","San"
"Pau,","Bernardino"
"Pyrénées-Atlantiques","Lærdal"
"Jaca","Puttgarden"
"Zaragoza","Oldenburg"
"Vierzon","in"
"Vierzon","Balatonvilágos"
"Montluçon","Lübeck"
"Montpellier","Halle"
"Doncaster","Plauen"
"Sheffield","Vojtanov"
"Nottingham","České"
"Leicester","Cheb"
"Northampton","Karlovy"
"Antwerp","Vary"
"Martigny","České"
"Sarreguemines","Halámky"
"Ludwigshafen","Leipzig"
"La","Bayerisch"
"Spezia","Eisenstein"
"Bremen","Deggendorf"
"Orkanger","Liezen"
"Vinjeøra","Sankt"
"Halsa","Michael"
"Straumsnes","Maribor"
"Kristiansund","Spielfeld"
"Mainland","Tunnel"
"Connection","Naklo"
"Batnfjordsøra","Kemijärvi"
"Molde","Posio"
"Vestnes","Kuusamo"
"Skodje","Rēzekne"
"Ålesund","Iisalmi"
"Volda","Tampere"
"Nordfjordeid","Kłodzko"
"Sandane","Kudowa-Zdrój"
"Førde","Náchod"
"Lavik","Hradec"
"Instefjord","Nizhny"
"Knarvik","Yekaterinburg"
"Bergen","Mohács"
"Bergen","Koszalin"
"Bergen","Słupsk"
"Os","Đakovo"
"Stord","Šamac"
"Sveio","Zenica"
"Aksdal","Mostar"
"Bokn","Metković"
"Rennesøy","Šiauliai"
"Randaberg","Elbląg"
"Stavanger","Radom"
"Sandnes","Ružomberok"
"Helleland","Rouen"
"Flekkefjord","Jiu"
"Lyngdal","Calafat"
"Mandal","Vidin"
"Kristiansand","Vraca"
"Hirtshals","Botevgrad"
"Hjørring","Blagoevgrad"
"Nørresundby","Serres"
"Nørresundby","Schweinfurt"
"Dortmund","Satu"
"Aschaffenburg","Mare"
"Stuttgart","Zalău"
"Schaffhausen","Sibiu"
"Ulm","Pleven"
"Lindau","Izmail"
"Lindau","Charleville-Mézières"
"Buchs","Dereköy"
"Chur","Kırklareli"
"San","Poitiers"
"Bernardino","Havsa"
"Bernardino","Grosseto"
"Bernardino","Arezzo"
"Rødby","Keşan"
"Puttgarden","Migliarino"
"Puttgarden","Real"
"Oldenburg","Selçuk"
"in","Denizli"
"Holstein","Korkuteli"
"Lübeck","Antalya"
"Halle","Toprakkale"
"Plauen","Sivas"
"Schönberg","Yayladağı"
"Vojtanov","Dzhankoy"
"Cheb","Sochi"
"Karlovy","Sukhumi"
"Vary","Zugdidi"
"České","Diyarbakır"
"České","Chundzha"
"České","Koktal"
"Budějovice","Bitlis"
"Budějovice","Usharal"
"Halámky","Doğubeyazit"
"Leipzig","Dilucu"
"Hirschberg","Sadarak"
"Hof","Jönköping"
"Bayreuth","Linköping"
"Bayerisch","Södertälje"
"Eisenstein","Uppsala"
"Deggendorf","Haparanda"
"Liezen","Tromsø"
"Sankt","Nordkjosbotn"
"Michael","Skibotn"
"Graz","Kilpisjärvi"
"Maribor","Kolari"
"Spielfeld","Vaasa"
"Karavanke","Pori"
"Tunnel","Derry"
"Naklo","Arna"
"Kemijärvi","Voss"
"Posio","Lærdal"
"Kuusamo","Hønefoss"
"Kajaani","Stranraer"
"Iisalmi","Gretna"
"Kuopio","Arendal"
"Tampere","Porsgrunn"
"Turku","Larvik"
"Turku","Horten"
"Riga","Sandefjord"
"Kłodzko","Drammen"
"Kudowa-Zdrój","Askim"
"Náchod","Västerås"
"Náchod","Turku/Naantali"
"Hradec","Stockholm/Kapellskär"
"Králové","Kotka"
"Nordkapp","Vaalimaa"
"Miskolc","Vyborg"
"Balatonvilágos","Chester"
"Balatonvilágos","Groningen"
"Knin","Warrington"
"Szekszárd","Sassnitz"
"Mohács","Kalmar"
"Osijek","Ventspils"
"Đakovo","Rēzekne"
"Šamac","Luki"
"Zenica","Novgorod"
"Mostar","Kazan"
"Metković","Yelabuga"
"Šiauliai","Tyumen"
"Tolpaki","Koszalin"
"Tolpaki","Novokazalinsk"
"Kaliningrad","Nesterov"
"Kaliningrad","Harwich"
"Kaliningrad","Zeebrugge"
"Elbląg","Marijampolė"
"Radom","Venlo"
"Trstená","Cottbus"
"Ružomberok","Kursk"
"Zvolen","Aktobe"
"Debrecen","Lille"
"Debrecen","Mons"
"Berettyóújfalu","Namur"
"Beiuş","Vith"
"Deva","Wittlich"
"Petroşani","Wiesbaden"
"Târgu","Amiens"
"Jiu","Koblenz"
"Calafat","Caen"
"Vidin","Regensburg"
"Vraca","Passau"
"Botevgrad","Sculeni"
"Blagoevgrad","Mykolaiv"
"Serres","Melitopol"
"Halmeu","Simplon"
"Satu","Innichen"
"Mare","Spittal"
"Zalău","Drau"
"Sebeş","Klagenfurt"
"Sibiu","Veszprém"
"Piteşti","Székesfehérvár"
"Pleven","Arad"
"Jablanica","Cuneo"
"Izmail","Asti"
"Reni","Pisa"
"Galaţi","Migliarino"
"Tulcea","Sansepolcro"
"Burgas","Bragança"
"Malko","Tekirdağ"
"Tarnovo","Silivri"
"Dereköy","Kristalopigi"
"Kırklareli","Géfira"
"Babaeski","Trikala"
"Havsa","Volos"
"Keşan","Megara"
"Ayvalık","Attiki"
"İzmir","Odos"
"Selçuk","Usak"
"Aydın","Afyonkarahisar"
"Aydın","Osh"
"Denizli","Topboğazi"
"Acıpayam","Reyhanlı"
"Korkuteli","Cilvegözü"
"Antalya","Sadakhlo"
"Kızılcahamam","Bagratashen"
"Toprakkale","Vanadzor"
"İskenderun","Saatly"
"Antakya","Rayon"
"Yayladağı","Mehgri"
"Syria","Ordubad"
"Kherson","Djulfa"
"Dzhankoy","Nakhchivan"
"Sochi","Kzylorda"
"Sukhumi","Andijan"
"Zugdidi","Kalaikhumb"
"Şanlıurfa","Khorugh"
"Diyarbakır","Murghab"
"Diyarbakır","Kokpek"
"Bitlis","Kulma"
"Doğubeyazit","Ishkoshim"
"Iğdir","Lyanga"
"Dilucu","China"
"Sadarak","Chundzha"
"Jönköping","Khorgas"
"Jönköping","Haugesund"
"Linköping","Druzhba"
"Norrköping","Bakhty"
"Norrköping","Røldal"
"Södertälje","Zapadnoe"
"Uppsala","Zhaksy"
"Sundsvall","Atbasar"
"Örnsköldsvik","Uspenovka"
"Umeå","Røldal"
"Haparanda","Tresfjord"
"Tornio","Åndalsnes"
"Tromsø","Haselünne"
"Nordkjosbotn","Walsrode"
"Skibotn","Neubrandenburg"
"Kilpisjärvi","Ukmergė"
"Kolari","Daugavpils"
"Kokkola","Tartu"
"Vaasa","Võru"
"Pori","Luhamaa"
"Hämeenlinna","Jõhvi"
"Derry","Valga"
"Arna","Valmiera"
"Voss","Incukalns"
